user;document;corpus;paragraph;system_relevance;perceived_relevance;system_relevance_type;f_average_fixation_duration;f_average_forward_saccades_length;f_regression_ratio;f_thorough_reading_ratio;f_coherently_read_text_length
A01;g-rel_q116-1;g-rel;0;True;True;r;0.28523592860376185;181.2796724394884;0.0;0.9157502771701592;7816.621451265717
A01;g-rel_q118-1;g-rel;0;True;True;r;0.3473066231844835;180.7871373700341;0.0;0.7198742115293401;3865.3137359874154
A01;g-rel_q103-1;g-rel;0;False;False;i;0.32589795361611396;168.38274658008862;0.0;0.8942407718573171;8450.315694018014
A01;g-rel_q076-1;g-rel;0;True;False;r;0.30623179518342564;171.2574353577303;0.0;0.8661460129106402;8151.045764740123
A01;g-rel_q097-2;g-rel;0;False;False;t;0.30946435928602134;157.5561753018269;0.0;0.8063769760167251;9628.348950143345
A01;g-rel_q094-2;g-rel;0;False;False;t;0.3634759931372453;172.7137179425406;0.0;0.8847950356788643;6999.889293261813
A01;g-rel_q088-1;g-rel;0;False;False;t;0.3558266777938171;167.59301497317222;0.0;0.8796391853079167;6936.622736803563
A01;g-rel_q075-1;g-rel;0;False;False;i;0.3182948731074217;178.38164394321794;0.0;0.8558614169086145;3773.0875129866736
A01;g-rel_q128-1;g-rel;0;True;True;r;0.38682758415292157;160.68157357528884;0.0;1.0;13894.499145295016
A01;g-rel_q122-2;g-rel;0;False;False;i;0.31712980784382566;184.04798249038294;0.0;1.0;4179.700872533735
A01;g-rel_q085-2;g-rel;0;False;False;i;0.3186504410596847;169.71215597508083;0.0;1.0;2862.4878062861217
A01;g-rel_q134-3;g-rel;0;False;False;t;0.28030944758950554;182.9147854315707;0.0;0.8170004727034504;4348.869303533528
A03;g-rel_q128-1;g-rel;0;True;True;r;0.38729909177832555;182.05499974886638;0.0;1.0;4320.39645106064
A03;g-rel_q075-1;g-rel;0;False;False;i;1.3135220233389577;123.13392382058507;0.0;1.0;2855.3962110369275
A03;g-rel_q116-1;g-rel;0;True;True;r;0.34652222596876237;170.8779896998579;0.0;1.0;12834.859080074215
A03;g-rel_q134-3;g-rel;0;False;False;t;0.37933494860246736;164.02955439936468;0.0;0.9031361905830535;14160.209040757485
A03;g-rel_q076-1;g-rel;0;True;True;r;0.3313121653128615;156.3262616536813;0.0;1.0;29440.369606331504
A03;g-rel_q085-2;g-rel;0;False;False;i;0.3396341183236081;169.62197144777736;0.0;0.8791255682372824;15654.574710419596
A03;g-rel_q122-2;g-rel;0;False;False;i;0.4025482571134462;174.8584062232885;0.0;0.8066810143160273;11904.1231380785
A03;g-rel_q094-2;g-rel;0;False;False;t;0.40094509849348065;169.0791414337328;0.0;0.9489811629075298;7373.898891412677
A03;g-rel_q088-1;g-rel;0;False;False;t;0.40248343907011286;165.14576610278905;0.0;0.9418237425736191;13337.632824430942
A03;g-rel_q097-2;g-rel;0;False;False;t;0.4802326113909298;141.48653906530257;0.0;0.9386493991627002;11059.811033719532
A03;g-rel_q103-1;g-rel;0;False;False;i;0.37928301265005276;169.88992005033992;0.0;0.8106574692909337;3392.2963419262474
